

/Gem Systems GSM-19GW 9013065 v7.0 8 XII 2008 M ew5fpl.v7s                         
/ID 1 file 01survey.wg  15 II 00
/00112 sensor distance cm 
/X Y nT nT/m sq cor-nT time picket-x picket-y 
 0  0  32932.78  9999.99 99 * 001202.0 * * 
 0  0  32932.46  9999.99 99 * 001204.0 * * 
 0  0  32932.72  9999.99 99 * 001206.0 * * 
 0  0  32932.71  9999.99 99 * 001208.0 * * 
 0  0  32932.62  9999.99 99 * 001210.0 * * 
 0  0  32932.57  9999.99 99 * 001212.0 * * 
 0  0  32932.62  9999.99 99 * 001214.0 * * 
 0  0  32932.67  9999.99 99 * 001216.0 * * 
 0  0  32932.69  9999.99 99 * 001218.0 * * 
 0  0  32932.72  9999.99 99 * 001220.0 * * 
 0  0  32932.62  9999.99 99 * 001222.0 * * 
 0  0  32932.63  9999.99 99 * 001224.0 * * 
 0  0  32932.53  9999.99 99 * 001226.0 * * 
 0  0  32932.42  9999.99 99 * 001228.0 * * 
 0  0  32932.47  9999.99 99 * 001230.0 * * 
/ 001304.0 b1
 0  0  32932.04  9999.99 99 * 001332.0 * * 
 0  0  32932.35  9999.99 99 * 001334.0 * * 
 0  0  32932.90  9999.99 99 * 001336.0 * * 
 0  0  32936.35  9999.99 99 * 001338.0 * * 
 0  0  32937.10  9999.99 99 * 001340.0 * * 
 0  0  32937.17  9999.99 99 * 001342.0 * * 
 0  0  32936.92  9999.99 99 * 001344.0 * * 
 0  0  32936.76  9999.99 99 * 001346.0 * * 
 0  0  32936.87  9999.99 99 * 001348.0 * * 
 0  0  32936.63  9999.99 99 * 001350.0 * * 
 0  0  32936.81  9999.99 99 * 001352.0 * * 
 0  0  32936.49  9999.99 99 * 001354.0 * * 
 0  0  32936.81  9999.99 99 * 001356.0 * * 
 0  0  33019.44  9999.99 99 * 001358.0 * * 
 0  0  33253.68  9999.99 99 * 001400.0 * * 
 0  0  33305.03  9999.99 39 * 001402.0 * * 
 0  0  32877.28  9999.99 59 * 001404.0 * * 
 0  0  32819.11  9999.99 59 * 001406.0 * * 
 0  0  32708.86  9999.99 49 * 001408.0 * * 
 0  0  32696.83  9999.99 59 * 001410.0 * * 
 0  0  32696.55  9999.99 59 * 001412.0 * * 
 0  0  32696.14  9999.99 59 * 001414.0 * * 
 0  0  32696.14  9999.99 59 * 001416.0 * * 
 0  0  32696.44  9999.99 59 * 001418.0 * * 
 0  0  32696.30  9999.99 59 * 001420.0 * * 
 0  0  32696.24  9999.99 59 * 001422.0 * * 
 0  0  32696.22  9999.99 59 * 001424.0 * * 
 0  0  32696.01  9999.99 59 * 001426.0 * * 
 0  0  32695.97  9999.99 59 * 001428.0 * * 
 0  0  32696.30  9999.99 59 * 001430.0 * * 
/ 001450.0 c1
 0  0  32696.47  9999.99 59 * 001500.0 * * 
 0  0  32695.82  9999.99 59 * 001502.0 * * 
 0  0  32695.76  9999.99 59 * 001504.0 * * 
 0  0  32695.92  9999.99 59 * 001506.0 * * 
 0  0  32695.94  9999.99 59 * 001508.0 * * 
 0  0  32695.85  9999.99 59 * 001510.0 * * 
 0  0  32695.73  9999.99 59 * 001512.0 * * 
 0  0  32695.71  9999.99 59 * 001514.0 * * 
 0  0  32696.06  9999.99 59 * 001516.0 * * 
 0  0  32695.80  9999.99 59 * 001518.0 * * 
 0  0  32695.95  9999.99 59 * 001520.0 * * 
 0  0  32695.82  9999.99 59 * 001522.0 * * 
 0  0  32695.75  9999.99 59 * 001524.0 * * 
 0  0  32698.82  9999.99 59 * 001526.0 * * 
 0  0  32710.12  9999.99 59 * 001528.0 * * 
 0  0  32739.57 -0187.79 89 * 001530.0 * * 
 0  0  32556.82  9999.99 79 * 001532.0 * * 
 0  0  32267.05 -0325.63 99 * 001534.0 * * 
 0  0  32206.12 -0355.96 89 * 001536.0 * * 
 0  0  32099.35 -0384.76 79 * 001538.0 * * 
 0  0  32034.30 -0430.12 79 * 001540.0 * * 
 0  0  32030.83 -0434.54 79 * 001542.0 * * 
 0  0  32030.56 -0434.63 79 * 001544.0 * * 
 0  0  32030.82 -0434.96 79 * 001546.0 * * 
 0  0  32030.28 -0435.09 79 * 001548.0 * * 
 0  0  32030.86 -0435.66 79 * 001550.0 * * 
 0  0  32030.33 -0435.52 79 * 001552.0 * * 
 0  0  32030.86 -0435.60 79 * 001554.0 * * 
 0  0  32030.42 -0435.51 79 * 001556.0 * * 
 0  0  32030.80 -0435.67 79 * 001558.0 * * 
 0  0  32030.30 -0435.71 79 * 001600.0 * * 
 0  0  32030.65 -0435.84 79 * 001602.0 * * 
 0  0  32030.28 -0435.66 79 * 001604.0 * * 
 0  0  32030.83 -0435.69 79 * 001606.0 * * 
 0  0  32030.22 -0435.75 79 * 001608.0 * * 
 0  0  32030.59 -0435.96 79 * 001610.0 * * 
/ 001626.0 d1
 0  0  32030.22 -0435.68 69 * 001638.0 * * 
 0  0  32030.50 -0435.69 79 * 001640.0 * * 
 0  0  32030.47 -0434.67 69 * 001642.0 * * 
 0  0  32032.16 -0432.91 79 * 001644.0 * * 
 0  0  32085.39 -0415.32 79 * 001646.0 * * 
 0  0  32250.71 -0337.45 99 * 001648.0 * * 
 0  0  32346.78 -0307.23 89 * 001650.0 * * 
 0  0  32471.45 -0231.05 99 * 001652.0 * * 
 0  0  32540.27 -0195.79 99 * 001654.0 * * 
 0  0  32521.44 -0171.50 99 * 001656.0 * * 
 0  0  32493.75 -0154.38 89 * 001658.0 * * 
 0  0  32479.77 -0159.08 69 * 001700.0 * * 
 0  0  32477.28 -0160.96 69 * 001702.0 * * 
 0  0  32477.26 -0160.97 69 * 001704.0 * * 
 0  0  32476.63 -0161.13 69 * 001706.0 * * 
 0  0  32476.02 -0161.50 69 * 001708.0 * * 
 0  0  32474.56 -0162.27 69 * 001710.0 * * 
 0  0  32475.17 -0162.03 69 * 001712.0 * * 
 0  0  32475.38 -0161.70 69 * 001714.0 * * 
 0  0  32476.05 -0161.70 69 * 001716.0 * * 
 0  0  32482.87 -0154.99 79 * 001718.0 * * 
 0  0  32494.17 -0145.46 89 * 001720.0 * * 
 0  0  32494.12 -0145.08 79 * 001722.0 * * 
 0  0  32493.76 -0146.25 79 * 001724.0 * * 
 0  0  32494.41 -0144.84 79 * 001726.0 * * 
 0  0  32493.54 -0145.90 79 * 001728.0 * * 
